Date,Time,ZCM,HPIM,PIM,LIFE,Event,Light,Temp,SleSco
04/22/2018,19:00:00,165,62583,3476.833,10000,0,6.609756,62.84722,0
04/22/2018,19:01:00,197,14246,791.4445,10000,0,38.95652,62.84722,0
04/22/2018,19:02:00,187,19492,1082.889,10000,0,24.12931,62.84722,0
04/22/2018,19:03:00,181,25019,1389.944,10000,0,2.236364,62.84722,0
04/22/2018,19:04:00,169,33943,1885.722,10000,0,2.090909,62.84722,0
04/22/2018,19:05:00,164,44806,2489.222,10000,0,1.436364,62.84722,0
04/22/2018,19:06:00,152,33502,1861.222,10000,0,15.66667,62.84722,0
04/22/2018,19:07:00,134,26274,1459.667,10000,0,7.487805,62.84722,0
04/22/2018,19:08:00,92,16496,916.4445,10000,0,1.290909,62.84722,0
04/22/2018,19:09:00,167,21731,1207.278,10000,0,1.654545,62.84722,0
04/22/2018,19:10:00,171,35193,1955.167,10000,0,1.072727,62.84722,0
04/22/2018,19:11:00,175,12266,681.4445,10000,0,0.1428571,62.84722,0
04/22/2018,19:12:00,158,20034,1113,10000,0,0.7142857,62.84722,0
04/22/2018,19:13:00,104,31373,1742.944,10000,0,1.4,62.84722,0
04/22/2018,19:14:00,194,12722,706.7778,10000,0,2.2,62.84722,0
04/22/2018,19:15:00,164,6948,386,10000,0,1.654545,62.84722,0
04/22/2018,19:16:00,187,9276,515.3333,10000,0,2.345454,62.84722,0
04/22/2018,19:17:00,167,20284,1126.889,10000,0,2.236364,62.84722,0
04/22/2018,19:18:00,150,36060,2003.333,10000,0,2.454545,62.84722,0
04/22/2018,19:19:00,77,13519,751.0555,10000,0,2.672727,62.84722,0
04/22/2018,19:20:00,162,27299,1516.611,10000,0,2.090909,62.84722,0
04/22/2018,19:21:00,178,42630,2368.333,10000,0,1.181818,61.46045,0
04/22/2018,19:22:00,157,18637,1035.389,10000,0,80.64602,62.84722,0
04/22/2018,19:23:00,166,59142,3285.667,10000,0,1.763636,62.84722,0
04/22/2018,19:24:00,176,5072,281.7778,10000,0,1.327273,62.15386,0
04/22/2018,19:25:00,178,4922,273.4445,10000,0,1.072727,62.15386,0
04/22/2018,19:26:00,150,3096,172,10000,0,1,62.50057,0
04/22/2018,19:27:00,194,3773,209.6111,10000,0,1.145455,62.15386,0
04/22/2018,19:28:00,206,53744,2985.778,10000,0,1.836364,62.84722,0
04/22/2018,19:29:00,156,26411,1467.278,10000,0,0,62.15386,0
04/22/2018,19:30:00,129,19109,1061.611,10000,0,0.2857143,62.15386,0
04/22/2018,19:31:00,84,1721,95.61111,10000,0,0.1428571,62.15386,0
04/22/2018,19:32:00,150,4992,277.3333,10000,0,0.1428571,62.15386,0
04/22/2018,19:33:00,162,4227,234.8333,10000,0,0.1428571,61.46045,0
04/22/2018,19:34:00,169,6288,349.3333,10000,0,0,62.15386,0
04/22/2018,19:35:00,135,13993,777.3889,10000,0,0,62.84722,0
04/22/2018,19:36:00,174,39724,2206.889,10000,0,6.902439,62.84722,0
04/22/2018,19:37:00,73,7624,423.5555,10000,0,43.69492,62.15386,0
04/22/2018,19:38:00,180,69039,3835.5,10000,0,21.18966,62.50057,0
04/22/2018,19:39:00,110,5611,311.7222,10000,0,7.195122,62.15386,0
04/22/2018,19:40:00,192,8004,444.6667,10000,0,2.418182,61.46045,0
04/22/2018,19:41:00,228,15228,846,10000,0,2.018182,61.46045,0
04/22/2018,19:42:00,218,55363,3075.722,10000,0,6.512195,62.15386,0
04/22/2018,19:43:00,186,35979,1998.833,10000,0,1.872727,61.46045,0
04/22/2018,19:44:00,174,31225,1734.722,10000,0,5.634146,61.46045,0
04/22/2018,19:45:00,202,19490,1082.778,10000,0,15.41667,62.15386,0
04/22/2018,19:46:00,214,22210,1233.889,10000,0,55.02885,61.46045,0
04/22/2018,19:47:00,274,80284,4460.222,10000,0,82.78632,61.46045,0
04/22/2018,19:48:00,192,29549,1641.611,10000,0,2.854545,61.46045,0
04/22/2018,19:49:00,104,5426,301.4445,10000,0,1.072727,61.46045,0
04/22/2018,19:50:00,187,40692,2260.667,10000,0,2.272727,61.46045,0
04/22/2018,19:51:00,178,21591,1199.5,10000,0,2.127273,61.46045,0
04/22/2018,19:52:00,121,13826,768.1111,10000,0,2.272727,61.46045,0
04/22/2018,19:53:00,92,910,50.55556,10000,0,1.363636,61.46045,0
04/22/2018,19:54:00,122,2210,122.7778,10000,0,1.909091,61.46045,0
04/22/2018,19:55:00,109,2065,114.7222,10000,0,2.054545,61.46045,0
04/22/2018,19:56:00,45,3891,216.1667,10000,0,1.436364,61.46045,0
04/22/2018,19:57:00,178,43454,2414.111,10000,0,1.254545,61.46045,0
04/22/2018,19:58:00,152,25599,1422.167,10000,0,4.560976,61.46045,0
04/22/2018,19:59:00,149,30645,1702.5,10000,0,2.054545,61.46045,0
04/22/2018,20:00:00,199,30134,1674.111,10000,0,2.709091,61.46045,0
04/22/2018,20:01:00,178,60179,3343.278,10000,0,9.439024,61.46045,0
04/22/2018,20:02:00,105,6355,353.0555,10000,0,0,61.46045,0
04/22/2018,20:03:00,142,20726,1151.444,10000,0,1.109091,61.46045,0
04/22/2018,20:04:00,171,38477,2137.611,10000,0,6.121951,61.46045,0
04/22/2018,20:05:00,167,32422,1801.222,10000,0,17.08333,61.46045,0
04/22/2018,20:06:00,182,23164,1286.889,10000,0,29.53448,61.46045,0
04/22/2018,20:07:00,172,52530,2918.333,10000,0,2.672727,61.46045,0
04/22/2018,20:08:00,109,2854,158.5556,10000,0,0,61.46045,0
